Village_List,Vilage_List_Description,Cell_List,Cell_List_Description,Sector_List,Sector_List_Description,District_List,District_List_Description,Province_List,Province_List_Description
OL01000001,Gihanga,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000003,Iterambere,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000005,Izuba,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000007,Nyaburanga,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000009,Nyenyeri,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000011,Ubukorikori,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000013,Ubumwe,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000015,Ubwiyunge,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000017,Umucyo,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000019,Umurabyo,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000021,Umuseke,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000023,Vugizo,OL02000005,Akabahizi,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000025,Akinyambo,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000027,Amayaga,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000029,Gitwa,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000031,Ituze,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
OL01000033,Mpazi,OL02000010,Akabeza,OL03000005,Gitega,OL04000005,Nyarugenge,OL05000005,Umujyi wa Kigali
